,Date,Symbol,Open,High,Low,Close,SP,Vol,OI
0,2006-04-28,S50M06,536.5,542.0,535.6,536.2,536.0,152,98.0
1,2006-05-02,S50M06,536.0,537.2,536.0,536.1,536.1,53,114.0
2,2006-05-03,S50M06,537.0,538.5,537.0,538.5,538.5,75,132.0
3,2006-05-04,S50M06,536.8,536.8,535.6,535.7,535.7,81,166.0
4,2006-05-08,S50M06,536.5,542.0,536.5,541.0,541.0,109,165.0
5,2006-05-09,S50M06,541.0,543.9,540.6,543.3,543.3,68,189.0
6,2006-05-10,S50M06,544.2,545.5,542.6,543.4,543.4,320,342.0
7,2006-05-11,S50M06,543.8,544.6,543.5,543.7,543.7,195,397.0
8,2006-05-15,S50M06,541.0,541.0,534.5,535.5,535.5,176,368.0
9,2006-05-16,S50M06,533.7,533.9,525.0,530.3,530.3,445,372.0
10,2006-05-17,S50M06,532.0,533.4,530.8,531.0,531.0,254,438.0
11,2006-05-18,S50M06,523.0,523.0,518.5,518.5,518.7,519,597.0
12,2006-05-19,S50M06,514.0,519.1,514.0,518.0,518.0,133,551.0
13,2006-05-22,S50M06,516.8,516.8,504.2,505.1,505.1,122,574.0
14,2006-05-23,S50M06,505.0,507.5,502.0,507.0,506.9,194,608.0
15,2006-05-24,S50M06,508.0,509.4,496.1,496.1,496.3,182,668.0
16,2006-05-25,S50M06,493.0,493.0,487.6,488.4,488.5,352,765.0
17,2006-05-26,S50M06,498.0,501.0,492.7,497.0,497.0,156,733.0
18,2006-05-29,S50M06,498.4,499.5,493.0,497.1,497.1,79,742.0
19,2006-05-30,S50M06,495.0,496.8,491.3,491.4,491.4,97,749.0
20,2006-05-31,S50M06,483.5,495.0,482.5,492.5,492.3,266,834.0
21,2006-06-01,S50M06,493.0,494.0,488.5,490.9,490.9,71,863.0
22,2006-06-02,S50M06,492.0,498.0,492.0,497.4,497.5,154,879.0
23,2006-06-05,S50M06,498.5,498.5,494.4,495.0,495.3,170,911.0
24,2006-06-06,S50M06,488.5,490.5,488.0,490.2,490.1,71,915.0
25,2006-06-07,S50M06,486.0,487.0,476.7,479.3,479.3,182,973.0
26,2006-06-08,S50M06,473.4,474.8,464.0,467.0,467.0,364,896.0
27,2006-06-09,S50M06,467.6,471.0,462.0,463.0,463.0,164,873.0
28,2006-06-14,S50M06,451.0,451.0,443.1,443.1,443.1,240,825.0
29,2006-06-15,S50M06,447.0,451.5,439.6,449.0,448.6,201,779.0
30,2006-06-16,S50M06,453.2,461.5,453.2,459.5,459.2,273,779.0
31,2006-06-19,S50M06,456.0,456.0,452.5,455.2,455.2,158,741.0
32,2006-06-20,S50M06,450.9,450.9,443.0,444.5,444.5,66,724.0
33,2006-06-21,S50M06,445.0,446.5,441.8,446.0,446.0,36,704.0
34,2006-06-22,S50M06,454.5,457.8,452.0,457.7,457.7,172,696.0
35,2006-06-23,S50M06,452.0,454.0,450.1,453.7,453.7,581,598.0
36,2006-06-26,S50M06,452.0,455.0,451.3,453.8,454.0,159,574.0
37,2006-06-27,S50M06,454.9,458.9,453.3,454.6,454.6,235,630.0
