,Date,Open,High,Low,Close
0,2006-01-03,508.0,511.23999,499.63,511.23999
1,2006-01-04,526.77002,527.45001,516.90997,525.72998
2,2006-01-05,530.82001,533.45001,523.34998,524.32001
3,2006-01-06,522.31,528.62,519.79999,528.20001
4,2006-01-09,539.06,541.27002,529.46002,541.27002
5,2006-01-10,541.10999,544.96002,537.19,538.42999
6,2006-01-11,536.33002,539.65002,530.40002,539.65002
7,2006-01-12,532.78003,539.25,526.48999,530.72998
8,2006-01-13,531.26001,535.57001,528.88,531.12
9,2006-01-16,523.76001,531.12,522.66998,530.02002
10,2006-01-17,529.13,532.59998,525.90002,529.59998
11,2006-01-18,519.15997,528.96002,517.5,518.84003
12,2006-01-19,521.97998,525.54999,519.13,524.34998
13,2006-01-20,528.64001,530.33002,525.64001,526.40002
14,2006-01-23,525.38,528.98999,521.66998,528.98999
15,2006-01-24,528.63,529.41998,524.84003,524.96997
16,2006-01-25,538.84003,540.04999,528.23999,538.77002
17,2006-01-26,542.59998,544.01001,537.34003,537.34003
18,2006-01-27,537.28003,540.65997,535.63,537.73999
19,2006-01-30,538.22998,540.03998,533.39001,534.5
20,2006-01-31,538.09998,540.32001,536.16998,540.02002
21,2006-02-01,539.71997,541.34003,536.92999,539.34998
22,2006-02-02,536.40002,536.40002,526.16998,528.52002
23,2006-02-03,530.16998,532.91998,522.83002,528.62
24,2006-02-06,520.57001,531.07001,519.19,526.08002
25,2006-02-07,526.06,526.84998,522.84998,524.59003
26,2006-02-08,518.92999,524.69,516.96002,516.96002
27,2006-02-09,511.59,518.0,511.45999,516.09003
28,2006-02-10,517.23999,520.96997,517.13,519.76001
29,2006-02-14,515.58002,515.58002,508.32999,511.73001
30,2006-02-15,509.72,513.73999,509.13,509.48001
31,2006-02-16,517.45001,518.27002,507.54999,516.38
32,2006-02-17,519.07001,521.20001,516.70001,520.10999
33,2006-02-20,517.10999,518.5,512.03998,518.42999
34,2006-02-21,513.62,519.33002,512.51001,512.51001
35,2006-02-22,514.29999,516.15002,511.81,512.87
36,2006-02-23,516.40997,517.71002,512.96002,515.66998
37,2006-02-24,519.42999,522.40997,515.46997,522.40997
38,2006-02-27,528.89001,532.06,518.46997,531.41998
39,2006-02-28,526.42999,529.41998,523.88,524.62
40,2006-03-01,521.04999,530.96002,521.04999,528.09998
41,2006-03-02,531.57001,534.34003,530.60999,531.46997
42,2006-03-03,532.32001,536.07001,531.35999,532.54999
43,2006-03-06,531.12,533.14001,529.77002,530.28003
44,2006-03-07,522.47998,529.96997,519.44,520.03998
45,2006-03-08,515.96002,515.96002,507.67999,507.81
46,2006-03-09,507.73999,515.09998,505.01999,512.53003
47,2006-03-10,512.53998,513.65997,511.0,511.67999
48,2006-03-13,513.94,515.02002,510.12,514.89001
49,2006-03-14,517.57001,519.71997,513.09003,519.65002
50,2006-03-15,518.66998,520.5,516.92999,520.5
51,2006-03-16,520.15997,523.04999,518.70001,519.44
52,2006-03-17,518.03998,521.35999,515.65997,519.03003
53,2006-03-20,513.69,518.15002,512.78003,513.01001
54,2006-03-21,512.39001,514.28998,510.57001,510.57001
55,2006-03-22,506.95999,512.25,504.17001,504.17001
